day,week,demand,temp
2003/10/1,水,786125,20.9
2003/10/2,木,813530,22.9
2003/10/3,金,794064,21.1
2003/10/4,土,709911,18.9
2003/10/5,日,649237,18.3
2003/10/6,月,762975,17
2003/10/7,火,778708,17
2003/10/8,水,779644,16.7
2003/10/9,木,778687,16.6
2003/10/10,金,777983,17.4
2003/10/11,土,712707,19.4
2003/10/12,日,669903,20.5
2003/10/13,月,714238,23.4
2003/10/14,火,777155,15.8
2003/10/15,水,779616,15.8
2003/10/16,木,780784,17.8
2003/10/17,金,777635,16.5
2003/10/18,土,721840,15.7
2003/10/19,日,650665,17.1
2003/10/20,月,756773,16.3
2003/10/21,火,778389,17.3
2003/10/22,水,799427,16
2003/10/23,木,789003,17.8
2003/10/24,金,773691,16.2
2003/10/25,土,719315,15.3
2003/10/26,日,654958,16.8
2003/10/27,月,763982,16.3
2003/10/28,火,807904,14.9
2003/10/29,水,787227,20
2003/10/30,木,781395,18.7
2003/10/31,金,777060,17.4
2003/11/1,土,720606,17.2
2003/11/2,日,651644,19
2003/11/3,月,702924,18
2003/11/4,火,769405,18.7
2003/11/5,水,785747,17.4
2003/11/6,木,797562,17.2
2003/11/7,金,793143,18.5
2003/11/8,土,727462,18.6
2003/11/9,日,676397,15.2
2003/11/10,月,809219,11.8
2003/11/11,火,845510,11.4
2003/11/12,水,805895,14
2003/11/13,木,819591,13.1
2003/11/14,金,812952,12.7
2003/11/15,土,762146,13.8
2003/11/16,日,669021,19.3
2003/11/17,月,785661,14
2003/11/18,火,824864,12.3
2003/11/19,水,824769,13.5
2003/11/20,木,857436,11.7
2003/11/21,金,806096,17.2
2003/11/22,土,744517,15
2003/11/23,日,702097,10.5
2003/11/24,月,773545,10.3
2003/11/25,火,872104,11.5
2003/11/26,水,832418,12.5
2003/11/27,木,876777,9.5
2003/11/28,金,867393,11.3
2003/11/29,土,817419,11.6
2003/11/30,日,720631,15.7
2003/12/1,月,847858,13
2003/12/2,火,829181,14.1
2003/12/3,水,854997,11.8
2003/12/4,木,857436,11.4
2003/12/5,金,905402,8.1
2003/12/6,土,811020,10.6
2003/12/7,日,714796,11.9
2003/12/8,月,855864,10
2003/12/9,火,887107,9.4
2003/12/10,水,891766,8.7
2003/12/11,木,952418,6.2
2003/12/12,金,920441,8.2
2003/12/13,土,816936,9.9
2003/12/14,日,746504,9.9
2003/12/15,月,876413,9.4
2003/12/16,火,905991,9.2
2003/12/17,水,936231,6.4
2003/12/18,木,913463,9
2003/12/19,金,897116,9.3
2003/12/20,土,848840,6
2003/12/21,日,780376,7.3
2003/12/22,月,901336,7.5
2003/12/23,火,839295,10.2
2003/12/24,水,876335,10.9
2003/12/25,木,873960,11
2003/12/26,金,845871,10.2
2003/12/27,土,835261,4.3
2003/12/28,日,753079,7
2003/12/29,月,751490,8.1
2003/12/30,火,693386,9
2003/12/31,水,654875,8.2
2004/1/1,木,599806,10.2
2004/1/2,金,605007,9.9
2004/1/3,土,624651,9.6
2004/1/4,日,677865,8.5
2004/1/5,月,826245,6.8
2004/1/6,火,890568,6.9
2004/1/7,水,927728,5.8
2004/1/8,木,946558,5.7
2004/1/9,金,941350,6.6
2004/1/10,土,848057,5.9
2004/1/11,日,790313,5.9
2004/1/12,月,842635,4.8
2004/1/13,火,936967,6.4
2004/1/14,水,962276,5
2004/1/15,木,969792,5.1
2004/1/16,金,970922,4.4
2004/1/17,土,927547,3.1
2004/1/18,日,806677,5.4
2004/1/19,月,960850,5
2004/1/20,火,934170,8.2
2004/1/21,水,935914,7.9
2004/1/22,木,955864,4.8
2004/1/23,金,963963,4.7
2004/1/24,土,879253,4.9
2004/1/25,日,807903,5
2004/1/26,月,932719,5.6
2004/1/27,火,965361,5.2
2004/1/28,水,938356,6.8
2004/1/29,木,924005,7.6
2004/1/30,金,909483,7.5
2004/1/31,土,824363,7.4
2004/2/1,日,777020,7
2004/2/2,月,948740,5.8
2004/2/3,火,927669,8.2
2004/2/4,水,913405,7
2004/2/5,木,932646,6.4
2004/2/6,金,937949,5.6
2004/2/7,土,849166,5.5
2004/2/8,日,788912,5.6
2004/2/9,月,918128,6.9
2004/2/10,火,941841,4.4
2004/2/11,水,875238,5.8
2004/2/12,木,915426,8
2004/2/13,金,906149,7.9
2004/2/14,土,791704,10.5
2004/2/15,日,737536,9.1
2004/2/16,月,887644,7.7
2004/2/17,火,900513,8.2
2004/2/18,水,888644,8.8
2004/2/19,木,886650,9.7
2004/2/20,金,876698,8.8
2004/2/21,土,769500,12.1
2004/2/22,日,698435,15.8
2004/2/23,月,811171,12
2004/2/24,火,868523,8.9
2004/2/25,水,844692,12
2004/2/26,木,835675,11.8
2004/2/27,金,871432,6.8
2004/2/28,土,780191,8.6
2004/2/29,日,725389,11.9
