gdp,cons
280763.1,166751.2
279394.1,166430.5
285607.8,168019.7
291683,168970.7
293419.6,168738.1
297048.5,169896.4
296471.6,171014.9
298494.1,172400.8
303198.7,174973.3
305155.6,178113.5
306637.9,177590.8
310711,182334.3
311093.7,182118.4
313288.7,183006.2
318078.1,185379.5
320641,186049.9
324392.3,187553.7
329343.4,188707.3
333208.7,190977.7
334006.3,191113.4
341916.3,193664.8
349176.9,196723.3
353392.3,197356.6
358425.7,201532.6
359524.2,202093.9
358933.4,203394.5
360804.6,206334.1
363860,206862.7
363398.1,209690.5
371122.2,211570.2
378565.4,214514.3
388263.4,218444.5
397527.1,220968.4
396918.4,224775.8
405930.7,225230.2
410016.8,227548.9
421177.9,234417
415640.1,230203.2
423008.9,235342.6
435953.8,241821.8
434020.4,240969
447636.1,249196.4
455130,251556.3
454297.2,249187.6
458335.7,250079.6
463608,253767.7
462622.7,252995.6
465935.1,256042.9
466177.5,259785.3
467546.4,258529.1
468251.1,258610.4
465247.6,257575.2
470578.9,261227.7
467434.7,259350.2
464207.5,259255.9
467014.1,264840.9
470259.8,264126.4
470320.1,265528.9
474619.5,270441.2
470979.1,268170.3
475289.6,268393
479254.6,271390.3
483635.3,273376
482767.1,275134.7
487384.5,276671.9
492208,278631.2
493077.3,278453.6
500404.4,281756.3
504684.4,287288.7
500709.7,277256.4
498250.6,279530
499890,279465.6
490491,277405.2
488300.2,276543.9
490185.4,279445.3
491347.5,280387.6
487571.5,279994.5
490487,281296.4
489386.5,281696.9
492525.4,282402
501827.1,283550.5
502577.9,282786.1
503114.4,282092.8
508035.9,284767.9
510442.2,287500.6
507459,288736.9
501568,287240
499308.5,288600.2
500910.4,288846.4
505024.9,290874.8
508746.1,292814.7
509364.3,291943.9
507347.8,291603.3
510566.1,290820.6
514214.5,291929.7
521512.7,295139
527478,296803.6
525891.3,296791
529124.2,298380
527013.7,296453.5
530955.9,297573
536519.1,300059.6
540453.4,302497.7
541978.3,303889.7
543044.1,304515.6
547534.7,306232
549982.9,304414.5
552925.9,307125.8
562112,310059.9
559858.7,311306
560056.8,309824.2
562168.4,310682.8
569882.8,312903.9
557961.1,307969.7
552263.9,307538.1
537620.5,304776.8
520912.8,300997.5
524431.7,304567.1
526173.3,307449.9
